acc_x,acc_y,acc_z
-0.006,0.018,0.026
-0.005,0.019,0.026
0.01,0.015,0.016
0.021,0.012,0.008
0.03,0.01,0.002
0.038,0.008,-0.003
0.044,0.007,-0.007
0.048,0.006,-0.01
0.052,0.005,-0.012
0.055,0.004,-0.014
0.057,0.004,-0.016
0.059,0.003,-0.017
0.06,0.006,-0.014
0.06,0.008,-0.012
0.061,0.009,-0.01
0.061,0.011,-0.008
0.061,0.012,-0.007
0.062,0.013,-0.006
0.062,0.013,-0.005
0.062,0.014,-0.005
0.062,0.014,-0.004
0.062,0.015,-0.004
0.052,0.002,-0.003
0.044,-0.009,-0.003
0.038,-0.017,-0.003
0.033,-0.024,-0.003
0.029,-0.029,-0.002
0.026,-0.033,-0.002
0.023,-0.037,-0.002
0.021,-0.04,-0.002
0.02,-0.042,-0.002
0.018,-0.044,-0.002
0.017,-0.063,-0.001
0.016,-0.079,-0.0
0.015,-0.091,0.0
0.014,-0.101,0.001
0.013,-0.109,0.001
0.013,-0.116,0.001
0.012,-0.121,0.001
0.012,-0.125,0.002
0.012,-0.128,0.002
0.011,-0.131,0.002
0.01,-0.129,-0.001
0.009,-0.128,-0.003
0.008,-0.127,-0.005
0.008,-0.126,-0.006
0.007,-0.126,-0.007
0.007,-0.125,-0.008
0.006,-0.125,-0.009
0.006,-0.124,-0.009
0.006,-0.124,-0.01
0.006,-0.124,-0.01
0.005,-0.123,-0.006
0.004,-0.122,-0.003
0.003,-0.121,-0.001
0.003,-0.121,0.001
0.002,-0.12,0.002
0.002,-0.12,0.004
0.002,-0.12,0.005
0.001,-0.12,0.005
0.001,-0.119,0.006
0.001,-0.119,0.007
-0.015,-0.113,0.013
-0.027,-0.108,0.019
-0.037,-0.104,0.023
-0.045,-0.1,0.026
-0.051,-0.098,0.029
-0.056,-0.096,0.031
-0.06,-0.094,0.033
-0.064,-0.093,0.034
-0.066,-0.091,0.035
-0.068,-0.091,0.036
-0.062,-0.08,0.031
-0.058,-0.071,0.027
-0.054,-0.064,0.024
-0.051,-0.058,0.022
-0.048,-0.054,0.019
-0.046,-0.05,0.018
-0.045,-0.047,0.017
-0.043,-0.045,0.015
-0.042,-0.043,0.015
-0.041,-0.042,0.014
-0.029,-0.038,0.01
-0.019,-0.035,0.006
-0.011,-0.033,0.003
-0.004,-0.031,0.001
0.001,-0.03,-0.001
0.005,-0.029,-0.002
0.009,-0.028,-0.004
0.011,-0.027,-0.005
0.013,-0.027,-0.005
0.015,-0.026,-0.006
0.022,-0.019,-0.005
0.027,-0.013,-0.004
0.031,-0.008,-0.003
0.034,-0.005,-0.003
0.037,-0.002,-0.003
0.039,0.001,-0.002
0.041,0.003,-0.002
0.042,0.004,-0.002
0.043,0.006,-0.002
0.044,0.007,-0.001
0.045,-0.008,0.0
0.045,-0.019,0.001
0.046,-0.028,0.002
0.046,-0.035,0.003
0.046,-0.041,0.004
0.046,-0.045,0.004
0.046,-0.049,0.005
0.047,-0.052,0.005
0.047,-0.054,0.005
0.047,-0.056,0.005
0.051,-0.056,0.007
0.054,-0.056,0.009
0.057,-0.056,0.011
0.059,-0.056,0.012
0.061,-0.057,0.012
0.062,-0.057,0.013
0.063,-0.057,0.014
0.064,-0.057,0.014
0.065,-0.057,0.015
0.065,-0.057,0.015
0.056,-0.063,0.011
0.049,-0.068,0.008
0.043,-0.072,0.005
0.039,-0.076,0.004
0.035,-0.078,0.002
0.032,-0.08,0.001
0.03,-0.082,-0.0
0.028,-0.083,-0.001
0.027,-0.084,-0.002
0.025,-0.085,-0.002
0.021,-0.085,-0.004
0.017,-0.086,-0.006
0.014,-0.086,-0.007
0.011,-0.086,-0.008
0.009,-0.086,-0.009
0.008,-0.086,-0.009
0.007,-0.086,-0.01
0.006,-0.086,-0.01
0.005,-0.086,-0.01
0.004,-0.086,-0.011
0.004,-0.089,-0.018
0.003,-0.092,-0.023
0.003,-0.094,-0.028
0.002,-0.095,-0.032
0.002,-0.097,-0.035
0.002,-0.098,-0.037
0.002,-0.099,-0.039
0.001,-0.099,-0.04
0.001,-0.1,-0.042
0.001,-0.1,-0.042
-0.004,-0.107,-0.009
-0.007,-0.112,0.018
-0.01,-0.116,0.039
-0.013,-0.12,0.057
-0.015,-0.122,0.07
-0.016,-0.124,0.081
-0.018,-0.126,0.09
-0.019,-0.128,0.097
-0.02,-0.129,0.103
-0.02,-0.13,0.107
-0.007,-0.116,0.073
0.003,-0.105,0.045
0.011,-0.096,0.023
0.018,-0.089,0.005
0.023,-0.084,-0.009
0.027,-0.079,-0.021
0.031,-0.076,-0.03
0.034,-0.073,-0.037
0.036,-0.071,-0.043
0.037,-0.069,-0.047
0.04,-0.067,-0.071
0.042,-0.065,-0.09
0.043,-0.064,-0.106
0.045,-0.062,-0.118
0.046,-0.061,-0.128
0.046,-0.061,-0.136
0.047,-0.06,-0.142
0.047,-0.06,-0.147
0.048,-0.059,-0.151
0.048,-0.059,-0.154
0.036,-0.062,-0.051
0.026,-0.063,0.032
0.018,-0.065,0.098
0.012,-0.066,0.151
0.007,-0.067,0.194
0.002,-0.068,0.228
-0.001,-0.069,0.255
-0.003,-0.069,0.277
-0.005,-0.07,0.294
-0.007,-0.07,0.308
-0.003,-0.077,0.277
0.001,-0.082,0.253
0.004,-0.086,0.233
0.006,-0.09,0.218
0.008,-0.092,0.205
0.009,-0.095,0.195
0.011,-0.096,0.187
0.012,-0.098,0.181
0.012,-0.099,0.175
0.013,-0.1,0.171
0.026,-0.087,0.113
0.037,-0.077,0.067
0.045,-0.069,0.03
0.052,-0.062,0.0
0.057,-0.057,-0.023
0.062,-0.053,-0.042
0.065,-0.049,-0.058
0.068,-0.047,-0.07
0.07,-0.045,-0.079
0.058,-0.044,-0.074
0.049,-0.044,-0.069
0.042,-0.044,-0.065
0.036,-0.044,-0.062
0.031,-0.043,-0.06
0.027,-0.043,-0.058
0.024,-0.043,-0.057
0.022,-0.043,-0.055
0.02,-0.043,-0.054
0.018,-0.043,-0.054
0.015,-0.048,-0.058
0.013,-0.051,-0.061
0.011,-0.054,-0.064
0.009,-0.057,-0.066
0.008,-0.059,-0.068
0.007,-0.06,-0.07
0.006,-0.062,-0.071
0.006,-0.062,-0.072
0.005,-0.063,-0.072
0.005,-0.064,-0.073
-0.003,-0.075,-0.071
-0.009,-0.083,-0.069
-0.014,-0.09,-0.068
-0.018,-0.096,-0.067
-0.021,-0.1,-0.066
-0.024,-0.103,-0.066
-0.026,-0.106,-0.065
-0.027,-0.108,-0.065
-0.029,-0.11,-0.064
-0.03,-0.112,-0.064
-0.019,-0.097,-0.105
-0.01,-0.086,-0.137
-0.003,-0.077,-0.163
0.003,-0.069,-0.184
0.007,-0.064,-0.2
0.011,-0.059,-0.214
0.014,-0.055,-0.224
0.016,-0.052,-0.233
0.018,-0.05,-0.24
0.02,-0.048,-0.245
0.015,-0.048,-0.187
0.011,-0.048,-0.14
0.008,-0.048,-0.103
0.005,-0.048,-0.073
0.003,-0.048,-0.05
0.001,-0.048,-0.031
0.0,-0.048,-0.015
-0.001,-0.048,-0.003
-0.002,-0.048,0.007
-0.003,-0.048,0.014
0.008,-0.055,0.019
0.016,-0.061,0.023
0.022,-0.066,0.026
0.027,-0.07,0.029
0.031,-0.073,0.031
0.035,-0.075,0.032
0.037,-0.077,0.034
0.04,-0.079,0.035
0.041,-0.08,0.036
0.043,-0.081,0.036
0.047,-0.083,0.036
0.05,-0.084,0.036
0.053,-0.085,0.035
0.055,-0.086,0.035
0.056,-0.086,0.035
0.058,-0.087,0.035
0.059,-0.087,0.035
0.06,-0.087,0.035
0.06,-0.088,0.035
0.061,-0.088,0.035
0.049,-0.089,0.17
0.04,-0.089,0.279
0.032,-0.09,0.365
0.026,-0.09,0.435
0.021,-0.09,0.49
0.017,-0.09,0.534
0.014,-0.091,0.57
0.012,-0.091,0.598
0.01,-0.091,0.621
0.008,-0.091,0.639
-0.001,-0.073,0.551
-0.008,-0.058,0.48
-0.014,-0.046,0.423
-0.019,-0.037,0.377
-0.022,-0.029,0.341
-0.025,-0.023,0.312
-0.028,-0.018,0.289
-0.03,-0.014,0.27
-0.031,-0.011,0.255
-0.033,-0.009,0.243
-0.014,0.003,0.199
0.001,0.013,0.164
0.013,0.02,0.136
0.023,0.027,0.113
0.03,0.031,0.095
0.037,0.035,0.08
0.042,0.038,0.069
0.045,0.041,0.06
0.049,0.043,0.052
0.051,0.045,0.046
0.046,0.041,-0.029
0.043,0.039,-0.089
0.039,0.037,-0.137
0.037,0.035,-0.175
0.035,0.034,-0.206
0.034,0.033,-0.23
0.032,0.032,-0.25
0.031,0.031,-0.266
0.03,0.03,-0.278
0.03,0.03,-0.288
0.017,0.003,-0.286
0.006,-0.019,-0.284
-0.002,-0.036,-0.283
-0.009,-0.05,-0.281
-0.014,-0.061,-0.28
-0.019,-0.07,-0.28
-0.022,-0.077,-0.279
-0.025,-0.082,-0.279
-0.027,-0.087,-0.278
-0.029,-0.091,-0.278
